Rk,Player,Age,Tm,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,GPS,MIN,QS,QS%,RBS,GA%-,GSAA,G,A,PTS,PIM,Season
18,Rick DiPietro,31,NYI,3,3,0,3,0,12,83,71,0.855,4.1,0,-0.1,176,0,0,1,,,0,0,0,0,2012
1,Steve Baker,25,NYR,3,,0,1,0,5,42,37,0.881,2.98,0,0.4,101,,,,,,0,0,0,0,1982
65,John Vanbiesbrouck,20,NYR,3,,2,1,0,10,84,74,0.881,3.35,0,0.5,179,,,,,,0,0,0,2,1983
80,Steve Valiquette,29,NYR,3,,1,2,0,6,45,39,0.867,3.14,0,0.1,115,,,,,,0,0,0,0,2006
7,Marcel Paille,30,NYR,3,,0,1,2,10,102,92,0.902,3.33,0,0.4,180,,,,,,0,0,0,0,1962
4,Bruce Gamble,20,NYR,3,,0,3,0,11,104,93,0.894,3.67,0,0.3,180,,,,,,0,0,0,0,1958
26,Ray Emery,20,OTT,3,,1,0,0,2,26,24,0.923,1.42,0,0.2,85,,,,,,0,0,0,0,2002
29,Ray Emery,21,OTT,3,,2,0,0,5,52,47,0.904,2.38,0,0.3,126,,,,,,0,0,0,2,2003
9,Mike Brodeur,26,OTT,3,3,3,0,0,3,87,84,0.966,1,1,1.1,180,3,1,0,,,0,0,0,0,2009
47,Bobby Taylor,30,PHI,3,,0,2,1,13,70,57,0.814,6.52,0,-0.2,120,,,,,,0,0,0,2,1974
64,Antero Niittymaki,23,PHI,3,,3,0,0,3,77,74,0.961,1,0,0.9,180,,,,,,0,0,0,0,2003
36,Scott Langkow,22,PHX,3,,0,1,1,10,60,50,0.833,4.39,0,-0.1,137,,,,,,0,0,0,0,1997
19,Robert Esche,21,PHX,3,,0,1,0,7,50,43,0.86,3.24,0,0,130,,,,,,0,0,0,0,1998
49,Nick Ricci,22,PIT,3,,0,3,0,14,89,75,0.843,5.32,0,0.2,158,,,,,,0,0,0,0,1981
52,Nick Ricci,23,PIT,3,,1,2,0,16,76,60,0.789,6.53,0,-0.1,147,,,,,,0,0,0,0,1982
